,,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
max_avg_bet,750,0.880064833699925,0.004172085417405924,0.525875,0.009842500000000014,0.49662500000000004,0.009241500000000003,0.9565996376811562,0.0015075207939517555
max_avg_bet,800,0.8988677362867937,0.00390030181475448,0.5508750000000001,0.009355166666666626,0.5158750000000001,0.008103166666666665,0.969349489795919,0.0008633728307648999
max_avg_bet,850,0.9172377019367813,0.0037085694133925763,0.56975,0.008458333333333361,0.532,0.008139666666666646,0.97525,0.0005363333333333386
max_avg_bet,900,0.9327294513812813,0.003187298828577442,0.586375,0.008536500000000006,0.5522500000000001,0.008160666666666696,0.9792500000000001,0.00044666666666667957
max_avg_bet,950,0.9474030051211437,0.0026690401575366588,0.6010000000000001,0.008025333333333329,0.565625,0.007192833333333333,0.9813750000000001,0.0003981666666666683
max_avg_bet,1000,0.9602757951584875,0.0018985595064167286,0.614625,0.007815500000000022,0.578375,0.007241499999999986,0.98275,0.00037699999999998585
max_avg_bet,1050,0.9674347826086939,0.0015032312539386913,0.62425,0.007963333333333319,0.584625,0.007870833333333334,0.983375,0.00039383333333336884
max_avg_bet,1100,0.97271875,0.001278739583333343,0.631625,0.007443500000000043,0.5956249999999998,0.008074166666666696,0.98375,0.0004213333333333817
max_avg_bet,1150,0.9749999999999999,0.0011189999999999737,0.6457499999999999,0.0074153333333333475,0.60325,0.007975000000000024,0.98475,0.00046366666666671104
max_avg_bet,1200,0.977625,0.001004500000000057,0.65725,0.007453333333333348,0.611125,0.008602499999999994,0.98425,0.0005423333333333601
max_avg_bet,1250,0.97775,0.0009483333333333377,0.670125,0.0071761666666667456,0.621375,0.008405500000000028,0.9833749999999999,0.0006065000000000845
max_avg_bet,1300,0.977,0.0011266666666667172,0.6788749999999999,0.006896500000000051,0.627625,0.008855166666666664,0.983375,0.000584500000000041
max_avg_bet,1350,0.977125,0.0010341666666667138,0.68725,0.005875000000000051,0.6380000000000001,0.008599999999999983,0.9831249999999999,0.0005645000000000284
max_avg_bet,1400,0.977875,0.0009665000000000275,0.69675,0.005733333333333412,0.647375,0.00848716666666671,0.9824999999999999,0.0005640000000000119
max_avg_bet,1450,0.977,0.0010066666666666772,0.69825,0.005598000000000039,0.654,0.008071666666666684,0.9828749999999999,0.0005271666666666637
max_avg_bet,1500,0.9766250000000001,0.0010461666666666503,0.7017499999999999,0.005386333333333333,0.66525,0.007138000000000026,0.98225,0.0005816666666667202
max_avg_bet,1550,0.9755,0.001148333333333298,0.7049999999999998,0.005312666666666707,0.675125,0.0065338333333333585,0.98225,0.0005960000000000084
max_avg_bet,1600,0.9745000000000001,0.0011359999999999456,0.7101249999999999,0.005092500000000004,0.6795,0.007139666666666701,0.98225,0.0005956666666666759
max_avg_bet,1650,0.9741250000000001,0.0011701666666666217,0.7133749999999999,0.00560683333333334,0.6855,0.007208333333333414,0.9817500000000001,0.0005909999999999727
max_avg_bet,1700,0.9736249999999999,0.0012324999999999994,0.713375,0.005246500000000006,0.6904999999999999,0.007256999999999991,0.9802500000000001,0.0005810000000000078
max_avg_bet,1750,0.9727499999999999,0.001267333333333317,0.7144999999999999,0.005528333333333363,0.6901249999999999,0.0071144999999999915,0.979875,0.0005978333333333908
max_avg_bet,1800,0.9712500000000001,0.0013040000000000163,0.721,0.005946666666666699,0.68975,0.0075410000000000355,0.9800000000000001,0.0006196666666667029
max_avg_bet,1850,0.970875,0.0013435000000000604,0.7249999999999999,0.005977333333333354,0.6904999999999999,0.008134000000000056,0.9801249999999999,0.0006138333333333061
max_avg_bet,1900,0.9705,0.0013066666666666884,0.7267499999999999,0.0061336666666667134,0.69,0.008490000000000018,0.9793749999999999,0.0006841666666666769
max_avg_bet,1950,0.96975,0.0013743333333333398,0.734375,0.006388500000000008,0.6846249999999999,0.009590166666666669,0.9792500000000001,0.0006963333333333803
max_avg_bet,2000,0.968875,0.0013205000000000074,0.7362500000000001,0.006623666666666678,0.685125,0.009955166666666676,0.9801249999999999,0.0006438333333333545
