,,cc_mean,cc_var,wc
max_avg_bet,14900,32.625,27.057499999999997,255.0
max_avg_bet,14950,32.60625,26.86541666666667,254.8
max_avg_bet,15000,32.575,26.72,254.5
max_avg_bet,15050,32.575,27.105833333333333,254.3
max_avg_bet,15100,32.54375,26.93125,253.9
max_avg_bet,15150,32.53125,26.720416666666665,253.7
max_avg_bet,15200,32.5,26.668333333333333,253.7
max_avg_bet,15250,32.53125,26.539583333333333,254.1
max_avg_bet,15300,32.51875,26.74875,254.1
max_avg_bet,15350,32.53125,26.83125,254.5
max_avg_bet,15400,32.50625,26.357083333333332,254.2
max_avg_bet,15450,32.48125,26.10125,253.9
max_avg_bet,15500,32.5,26.3625,254.0
max_avg_bet,15550,32.50625,26.649583333333332,254.9
max_avg_bet,15600,32.53125,26.577083333333338,255.8
max_avg_bet,15650,32.50625,26.20791666666667,255.8
max_avg_bet,15700,32.5,26.151666666666664,256.0
max_avg_bet,15750,32.46875,25.897083333333335,255.9
max_avg_bet,15800,32.41875,25.819583333333334,254.8
max_avg_bet,15850,32.4125,25.405833333333334,254.8
max_avg_bet,15900,32.4125,24.8475,254.5
max_avg_bet,15950,32.40625,24.780416666666667,254.4
max_avg_bet,16000,32.375,24.945833333333333,254.4
max_avg_bet,16050,32.4,25.514166666666664,254.6
max_avg_bet,16100,32.40625,25.725416666666668,254.7
max_avg_bet,16150,32.3875,26.2,254.5
max_avg_bet,16200,32.3875,26.432499999999997,254.4
max_avg_bet,16250,32.375,26.513333333333332,254.1
max_avg_bet,16300,32.33125,26.33125,253.9
max_avg_bet,16350,32.3,26.22416666666667,253.7
max_avg_bet,16400,32.24375,26.52708333333333,252.9
max_avg_bet,16450,32.2375,26.913333333333334,252.5
max_avg_bet,16500,32.225,27.089166666666664,252.2
max_avg_bet,16550,32.21875,26.949583333333333,252.2
max_avg_bet,16600,32.18125,26.855416666666663,251.7
max_avg_bet,16650,32.1625,26.6125,251.6
max_avg_bet,16700,32.13125,26.381250000000005,251.2
max_avg_bet,16750,32.075,26.564166666666665,250.5
max_avg_bet,16800,32.1,26.620833333333337,250.6
max_avg_bet,16850,32.075,26.554166666666664,250.9
max_avg_bet,16900,32.1125,26.520833333333336,251.2
max_avg_bet,16950,32.14375,26.239583333333332,251.2
max_avg_bet,17000,32.1875,25.831666666666667,251.4
max_avg_bet,17050,32.19375,26.126250000000006,251.4
max_avg_bet,17100,32.23125,25.96458333333333,251.9
max_avg_bet,17150,32.25,26.1675,252.1
max_avg_bet,17200,32.25,25.89166666666667,252.0
max_avg_bet,17250,32.30625,26.141250000000003,252.8
max_avg_bet,17300,32.25,26.1675,252.2
max_avg_bet,17350,32.23125,26.740416666666665,252.6
max_avg_bet,17400,32.25625,26.799583333333334,253.0
max_avg_bet,17450,32.25625,27.03541666666667,253.3
max_avg_bet,17500,32.30625,27.657083333333333,254.3
max_avg_bet,17550,32.3125,27.444166666666668,254.5
max_avg_bet,17600,32.26875,27.805416666666666,254.9
max_avg_bet,17650,32.225,27.823333333333334,254.4
max_avg_bet,17700,32.225,27.547500000000003,254.2
max_avg_bet,17750,32.2,27.778333333333336,254.0
max_avg_bet,17800,32.23125,27.82791666666667,254.3
max_avg_bet,17850,32.21875,27.31458333333333,254.1
max_avg_bet,17900,32.23125,27.680416666666666,254.5
max_avg_bet,17950,32.2,27.510833333333334,254.7
max_avg_bet,18000,32.20625,27.423749999999995,255.2
max_avg_bet,18050,32.225,27.981666666666666,255.4
max_avg_bet,18100,32.2,27.856666666666666,255.1
max_avg_bet,18150,32.20625,28.037083333333335,254.8
max_avg_bet,18200,32.19375,28.219583333333333,254.9
max_avg_bet,18250,32.175,27.90333333333333,255.3
max_avg_bet,18300,32.14375,27.99458333333333,254.9
max_avg_bet,18350,32.14375,28.452083333333338,255.2
max_avg_bet,18400,32.1,28.105,254.9
max_avg_bet,18450,32.05625,27.62708333333334,255.1
max_avg_bet,18500,32.06875,27.39375,255.7
max_avg_bet,18550,32.08125,27.732916666666664,255.7
max_avg_bet,18600,32.06875,27.647916666666667,255.9
max_avg_bet,18650,32.0375,27.6475,255.8
max_avg_bet,18700,31.95625,27.84791666666667,255.2
max_avg_bet,18750,31.93125,27.983749999999997,254.9
max_avg_bet,18800,31.93125,27.94875,255.1
max_avg_bet,18850,31.91875,28.137916666666666,254.8
max_avg_bet,18900,31.9375,28.25,255.2
max_avg_bet,18950,31.875,28.567500000000003,254.8
max_avg_bet,19000,31.86875,28.55125,254.8
max_avg_bet,19050,31.85,29.03666666666667,254.6
max_avg_bet,19100,31.79375,29.072083333333335,254.0
max_avg_bet,19150,31.8,29.060000000000002,254.4
max_avg_bet,19200,31.8,28.818333333333335,254.0
max_avg_bet,19250,31.8125,28.877499999999998,254.1
max_avg_bet,19300,31.85,28.721666666666664,254.3
max_avg_bet,19350,31.85,28.744166666666665,254.6
max_avg_bet,19400,31.83125,29.228749999999998,254.3
max_avg_bet,19450,31.84375,29.09791666666667,254.4
max_avg_bet,19500,31.8625,29.305833333333332,255.0
max_avg_bet,19550,31.825,29.428333333333335,254.7
max_avg_bet,19600,31.80625,29.40958333333333,254.2
max_avg_bet,19650,31.79375,29.059583333333336,254.2
max_avg_bet,19700,31.84375,29.609583333333337,254.9
max_avg_bet,19750,31.875,29.692500000000003,255.6
max_avg_bet,19800,31.83125,29.297916666666662,255.2
max_avg_bet,19850,31.7625,29.001666666666672,254.2
max_avg_bet,19900,31.74375,29.022916666666667,254.1
max_avg_bet,19950,31.7125,29.23,253.7
max_avg_bet,20000,31.75,29.183333333333337,253.9
max_avg_clust,0,0.0,0.0,0.0
max_avg_clust,50,1.6875,0.75,6.8
max_avg_clust,100,3.65625,1.3470833333333334,20.8
max_avg_clust,150,5.3125,1.27,32.0
max_avg_clust,200,6.3625,1.48,39.3
max_avg_clust,250,7.16875,1.5612499999999998,44.2
max_avg_clust,300,7.7625,1.6700000000000004,48.3
max_avg_clust,350,8.28125,1.8945833333333333,51.6
max_avg_clust,400,8.78125,1.9495833333333334,54.2
max_avg_clust,450,9.2125,1.9908333333333332,56.9
max_avg_clust,500,9.65625,2.2320833333333328,59.9
max_avg_clust,550,10.04375,2.492916666666667,62.6
max_avg_clust,600,10.43125,2.747916666666667,64.9
max_avg_clust,650,10.79375,3.1579166666666665,68.5
max_avg_clust,700,11.06875,3.3370833333333336,70.8
max_avg_clust,750,11.375,3.844166666666667,73.1
max_avg_clust,800,11.6125,4.0425,76.2
max_avg_clust,850,11.75625,4.10625,77.1
max_avg_clust,900,11.8625,4.491666666666667,77.9
max_avg_clust,950,12.0,4.8483333333333345,78.3
max_avg_clust,1000,12.09375,5.248749999999999,78.5
max_avg_clust,1050,12.175,5.2508333333333335,78.5
max_avg_clust,1100,12.2625,5.2425,78.7
max_avg_clust,1150,12.35625,5.352916666666667,79.1
max_avg_clust,1200,12.41875,5.55625,80.4
max_avg_clust,1250,12.4625,5.511666666666668,80.3
max_avg_clust,1300,12.54375,5.34875,80.8
max_avg_clust,1350,12.61875,5.276249999999999,81.8
max_avg_clust,1400,12.7125,5.116666666666666,82.8
max_avg_clust,1450,12.75625,5.1587499999999995,82.8
max_avg_clust,1500,12.83125,5.359583333333334,83.2
max_avg_clust,1550,12.9375,5.494166666666667,84.2
max_avg_clust,1600,12.95625,5.500416666666665,83.5
max_avg_clust,1650,13.0375,5.535833333333333,84.4
max_avg_clust,1700,13.125,5.558333333333334,85.2
max_avg_clust,1750,13.21875,5.622916666666667,86.3
max_avg_clust,1800,13.30625,5.565416666666666,87.2
max_avg_clust,1850,13.39375,5.5687500000000005,87.2
max_avg_clust,1900,13.5,5.842499999999999,88.5
max_avg_clust,1950,13.61875,5.742083333333333,89.4
max_avg_clust,2000,13.725,5.8774999999999995,89.7
max_avg_clust,2050,13.83125,6.040416666666667,89.9
max_avg_clust,2100,13.8625,6.2058333333333335,89.8
max_avg_clust,2150,13.95625,6.501250000000001,91.1
max_avg_clust,2200,14.0625,6.400833333333334,91.6
max_avg_clust,2250,14.1625,6.339166666666667,92.6
max_avg_clust,2300,14.3125,6.559166666666667,93.8
max_avg_clust,2350,14.43125,6.95625,95.4
max_avg_clust,2400,14.5125,7.046666666666665,96.0
max_avg_clust,2450,14.65,7.522500000000001,97.2
max_avg_clust,2500,14.70625,7.667916666666666,97.8
max_avg_clust,2550,14.81875,8.075416666666667,98.9
max_avg_clust,2600,14.9375,8.629166666666666,100.2
max_avg_clust,2650,15.06875,9.03125,102.0
max_avg_clust,2700,15.16875,9.30875,102.6
max_avg_clust,2750,15.26875,10.035416666666666,103.3
max_avg_clust,2800,15.3125,10.229166666666668,104.4
max_avg_clust,2850,15.3625,10.095,104.9
max_avg_clust,2900,15.475,10.505833333333333,105.3
max_avg_clust,2950,15.5375,11.05,105.8
max_avg_clust,3000,15.61875,11.257083333333332,106.6
max_avg_clust,3050,15.75625,12.002916666666666,107.7
max_avg_clust,3100,15.8625,12.259166666666665,108.6
max_avg_clust,3150,15.95625,12.572916666666666,109.1
max_avg_clust,3200,16.0125,12.7,109.7
max_avg_clust,3250,16.0875,12.725833333333334,110.4
max_avg_clust,3300,16.1375,12.563333333333334,110.6
max_avg_clust,3350,16.2,12.478333333333335,111.0
max_avg_clust,3400,16.225,12.578333333333333,111.4
max_avg_clust,3450,16.3125,12.645833333333332,111.7
max_avg_clust,3500,16.3625,12.903333333333332,111.8
max_avg_clust,3550,16.4125,13.155833333333334,112.5
max_avg_clust,3600,16.51875,13.524583333333334,114.0
max_avg_clust,3650,16.53125,13.42125,114.0
max_avg_clust,3700,16.6,13.4525,114.2
max_avg_clust,3750,16.69375,14.071250000000001,115.1
max_avg_clust,3800,16.7375,13.661666666666667,115.5
max_avg_clust,3850,16.75625,13.67125,116.1
max_avg_clust,3900,16.80625,13.572083333333333,117.2
max_avg_clust,3950,16.88125,13.54625,118.2
max_avg_clust,4000,16.96875,13.529583333333331,118.8
max_avg_clust,4050,17.03125,13.537916666666666,119.5
max_avg_clust,4100,17.06875,13.69375,119.8
max_avg_clust,4150,17.15,13.736666666666668,120.5
max_avg_clust,4200,17.20625,13.692083333333333,121.4
max_avg_clust,4250,17.24375,13.592083333333331,122.2
max_avg_clust,4300,17.3,13.778333333333332,122.8
max_avg_clust,4350,17.36875,13.712916666666667,123.7
max_avg_clust,4400,17.48125,13.795416666666668,124.1
max_avg_clust,4450,17.55,13.699166666666667,125.2
max_avg_clust,4500,17.63125,13.747916666666665,125.9
max_avg_clust,4550,17.7375,13.745833333333332,126.9
max_avg_clust,4600,17.85,14.023333333333335,127.7
max_avg_clust,4650,17.9375,14.401666666666667,128.4
max_avg_clust,4700,17.96875,14.524583333333334,129.1
max_avg_clust,4750,18.0125,14.491666666666665,129.0
max_avg_clust,4800,18.075,14.575,129.4
max_avg_clust,4850,18.15,15.16,130.1
max_avg_clust,4900,18.21875,15.166250000000002,131.1
max_avg_clust,4950,18.30625,15.247083333333332,131.7
max_avg_clust,5000,18.36875,15.29375,132.7
max_avg_clust,5050,18.4375,15.5425,133.8
max_avg_clust,5100,18.5375,15.776666666666666,134.8
max_avg_clust,5150,18.625,15.679166666666669,135.5
max_avg_clust,5200,18.675,15.858333333333334,135.6
max_avg_clust,5250,18.73125,15.669583333333332,136.2
max_avg_clust,5300,18.775,15.498333333333331,136.4
max_avg_clust,5350,18.8375,15.570833333333335,136.4
max_avg_clust,5400,18.8875,15.532500000000002,136.9
max_avg_clust,5450,18.95,15.801666666666668,137.8
max_avg_clust,5500,18.98125,15.910416666666668,137.7
max_avg_clust,5550,19.0125,15.858333333333334,138.2
max_avg_clust,5600,19.04375,16.08291666666667,138.2
