,,cc_mean,cc_var,wc
max_avg_bet,1900,14.26875,8.867916666666666,97.2
max_avg_bet,1950,14.35,9.576666666666666,97.8
max_avg_bet,2000,14.46875,9.709583333333333,98.6
max_avg_bet,2050,14.59375,9.90125,99.6
max_avg_bet,2100,14.7,10.127500000000001,100.1
max_avg_bet,2150,14.91875,10.840416666666668,102.1
max_avg_bet,2200,15.01875,10.832916666666668,102.4
max_avg_bet,2250,15.1375,11.403333333333334,104.2
max_avg_bet,2300,15.23125,11.70375,104.5
max_avg_bet,2350,15.33125,11.847916666666666,105.3
max_avg_bet,2400,15.425,12.288333333333332,106.6
max_avg_bet,2450,15.5375,12.5575,107.7
max_avg_bet,2500,15.7125,12.758333333333333,109.3
max_avg_bet,2550,15.825,13.366666666666665,110.3
max_avg_bet,2600,15.93125,13.402916666666666,112.0
max_avg_bet,2650,15.98125,13.354583333333334,111.8
max_avg_bet,2700,16.13125,13.725416666666666,112.8
max_avg_bet,2750,16.24375,14.183749999999998,113.8
max_avg_bet,2800,16.3625,14.642500000000002,114.4
max_avg_bet,2850,16.4125,14.525833333333335,115.1
max_avg_bet,2900,16.49375,14.442083333333334,116.4
max_avg_bet,2950,16.54375,14.654583333333331,116.9
max_avg_bet,3000,16.68125,14.961249999999998,118.3
max_avg_bet,3050,16.78125,15.330416666666665,119.2
max_avg_bet,3100,16.7875,15.080833333333334,119.2
max_avg_bet,3150,16.88125,15.407083333333333,120.2
max_avg_bet,3200,16.95,15.496666666666666,121.2
max_avg_bet,3250,17.0375,15.647500000000003,122.6
max_avg_bet,3300,17.1375,15.675,122.9
max_avg_bet,3350,17.21875,15.735416666666666,123.5
max_avg_bet,3400,17.34375,16.147916666666667,124.6
max_avg_bet,3450,17.4625,16.664166666666667,126.1
max_avg_bet,3500,17.5,17.033333333333335,126.1
max_avg_bet,3550,17.65,17.369166666666665,127.6
max_avg_bet,3600,17.775,17.668333333333333,128.3
max_avg_bet,3650,17.84375,17.608750000000004,129.0
max_avg_bet,3700,17.9375,17.750833333333333,130.3
max_avg_bet,3750,18.0,17.740833333333335,130.9
max_avg_bet,3800,18.1,16.999166666666667,132.2
max_avg_bet,3850,18.2,17.780833333333334,133.0
max_avg_bet,3900,18.2625,17.888333333333335,133.5
max_avg_bet,3950,18.3,18.0575,133.9
max_avg_bet,4000,18.3875,18.304166666666667,134.9
max_avg_bet,4050,18.48125,17.817083333333333,136.1
max_avg_bet,4100,18.5125,17.634999999999998,136.2
max_avg_bet,4150,18.575,17.446666666666665,137.2
max_avg_bet,4200,18.6,17.54083333333333,137.1
max_avg_bet,4250,18.6,17.416666666666664,137.5
max_avg_bet,4300,18.625,17.279999999999998,137.6
max_avg_bet,4350,18.68125,17.54958333333333,138.2
max_avg_bet,4400,18.7625,18.3,139.2
max_avg_bet,4450,18.81875,18.11625,139.9
max_avg_bet,4500,18.90625,18.152916666666666,140.8
max_avg_bet,4550,18.93125,18.13791666666667,140.9
max_avg_bet,4600,18.96875,18.287083333333335,140.9
max_avg_bet,4650,18.9625,18.399166666666666,140.8
max_avg_bet,4700,18.9875,18.595,141.0
max_avg_bet,4750,19.06875,18.49125,142.0
max_avg_bet,4800,19.1375,18.59916666666667,142.5
max_avg_bet,4850,19.2125,18.116666666666667,142.7
max_avg_bet,4900,19.28125,18.12375,143.1
max_avg_bet,4950,19.325,17.954166666666666,143.4
max_avg_bet,5000,19.3625,18.21666666666667,144.3
max_avg_bet,5050,19.45625,18.569583333333334,144.9
max_avg_bet,5100,19.53125,19.100416666666668,146.0
max_avg_bet,5150,19.6,18.668333333333333,146.4
max_avg_bet,5200,19.6375,18.138333333333332,146.6
max_avg_bet,5250,19.7,18.2275,147.7
max_avg_bet,5300,19.7875,17.863333333333337,148.7
max_avg_bet,5350,19.85625,17.622916666666665,149.6
max_avg_bet,5400,19.94375,17.920416666666664,150.9
max_avg_bet,5450,20.00625,17.87458333333333,151.9
max_avg_bet,5500,20.125,17.97,153.2
max_avg_bet,5550,20.19375,17.757083333333334,153.5
max_avg_bet,5600,20.2375,17.539166666666667,153.8
max_avg_bet,5650,20.2875,17.9475,154.2
max_avg_bet,5700,20.31875,17.80958333333333,154.2
max_avg_bet,5750,20.38125,17.955416666666665,154.6
max_avg_bet,5800,20.40625,18.612916666666667,154.9
max_avg_bet,5850,20.4875,18.822499999999998,155.3
max_avg_bet,5900,20.46875,18.877916666666668,155.5
max_avg_bet,5950,20.50625,18.89541666666667,156.2
max_avg_bet,6000,20.54375,19.03541666666667,156.4
max_avg_bet,6050,20.60625,19.067916666666665,157.0
max_avg_bet,6100,20.675,19.577499999999997,158.1
max_avg_bet,6150,20.7125,19.644166666666667,158.4
max_avg_bet,6200,20.8125,19.37083333333333,158.8
max_avg_bet,6250,20.90625,19.47625,159.3
max_avg_bet,6300,21.03125,19.585416666666667,160.7
max_avg_bet,6350,21.09375,20.13125,161.6
max_avg_bet,6400,21.15,20.342499999999998,161.9
max_avg_bet,6450,21.2125,20.610833333333336,162.4
max_avg_bet,6500,21.24375,20.427916666666665,162.6
max_avg_bet,6550,21.3875,21.380833333333335,163.4
max_avg_bet,6600,21.44375,21.68625,164.6
max_avg_bet,6650,21.475,21.93583333333333,165.0
max_avg_bet,6700,21.51875,21.239583333333336,165.7
max_avg_bet,6750,21.5625,21.42,166.0
max_avg_bet,6800,21.61875,21.874583333333334,166.2
max_avg_bet,6850,21.65625,22.084583333333335,166.6
