,,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
max_avg_bet,1200,0.76875,0.012400333333333293,0.660875,0.006225500000000039,0.39612499999999995,0.006761499999999988,0.98425,0.000632666666666637
max_avg_bet,1250,0.773375,0.011895166666666603,0.66875,0.0060663333333334,0.409,0.006719000000000011,0.9835,0.0007026666666666989
max_avg_bet,1300,0.7764999999999999,0.011822333333333325,0.67675,0.006059333333333381,0.41825,0.006352666666666662,0.9821250000000001,0.0007878333333333624
max_avg_bet,1350,0.7795,0.01172999999999996,0.6819999999999999,0.006229333333333375,0.42300000000000004,0.006527666666666652,0.9816249999999999,0.0008655000000000376
max_avg_bet,1400,0.783375,0.012099500000000039,0.6886249999999999,0.005875500000000026,0.428125,0.007077166666666679,0.9813750000000001,0.0008431666666666497
max_avg_bet,1450,0.7805,0.011999333333333327,0.6907500000000001,0.006204333333333357,0.42612500000000003,0.0079755,0.9801249999999999,0.0008495000000000513
max_avg_bet,1500,0.780875,0.01251583333333334,0.69725,0.006182000000000034,0.430375,0.007891499999999997,0.9797499999999999,0.0009210000000000208
max_avg_bet,1550,0.781125,0.012933833333333311,0.697125,0.006810500000000008,0.433875,0.008966499999999985,0.9789999999999999,0.0009089999999999894
max_avg_bet,1600,0.780625,0.013309500000000024,0.699375,0.0067718333333333745,0.433625,0.00967216666666667,0.9786250000000001,0.0009268333333332634
max_avg_bet,1650,0.7817500000000001,0.013237333333333262,0.70275,0.006957666666666712,0.43550000000000005,0.009015333333333328,0.97775,0.0009493333333333235
max_avg_bet,1700,0.783875,0.012786500000000001,0.706125,0.006461166666666749,0.438375,0.008650833333333328,0.9770000000000001,0.0009536666666666823
max_avg_bet,1750,0.7844999999999999,0.012993333333333346,0.7101249999999999,0.005723166666666686,0.4415,0.008018,0.9758749999999999,0.0010435000000000017
max_avg_bet,1800,0.787625,0.01249283333333332,0.711125,0.005600500000000034,0.4443750000000001,0.008759166666666658,0.9761249999999999,0.001008500000000024
max_avg_bet,1850,0.787625,0.01287549999999997,0.7133749999999999,0.005364833333333359,0.44362500000000005,0.007971500000000005,0.974625,0.001075166666666713
max_avg_bet,1900,0.7895000000000001,0.013143999999999966,0.711,0.006254666666666716,0.441,0.007473000000000009,0.9741249999999999,0.0010608333333333299
max_avg_bet,1950,0.7877500000000001,0.012884999999999956,0.712875,0.005841166666666708,0.44325000000000003,0.0069946666666666725,0.9738749999999999,0.0009611666666667062
max_avg_bet,2000,0.7891250000000001,0.013147166666666632,0.7141249999999999,0.006055833333333401,0.45062499999999994,0.007367500000000013,0.9727500000000001,0.0009563333333333665
max_avg_bet,2050,0.79225,0.012736666666666636,0.7226249999999999,0.005890833333333365,0.44775,0.006506999999999996,0.9727499999999999,0.0008769999999999929
max_avg_bet,2100,0.794875,0.012510166666666624,0.724125,0.006104500000000001,0.44875,0.006319333333333332,0.9724999999999999,0.0009346666666666791
max_avg_bet,2150,0.79475,0.012811999999999985,0.7262500000000001,0.006004666666666729,0.45125000000000004,0.0063956666666666676,0.9738749999999999,0.0008651666666666695
max_avg_bet,2200,0.7959999999999999,0.012847333333333317,0.7261249999999999,0.006680499999999985,0.45199999999999996,0.0063866666666666655,0.9724999999999999,0.0009069999999999941
max_avg_bet,2250,0.79725,0.012562999999999972,0.733,0.005982000000000027,0.45562499999999995,0.007276500000000014,0.9730000000000001,0.0009459999999999861
max_avg_bet,2300,0.7976249999999999,0.012511499999999957,0.73175,0.006362666666666671,0.4565,0.006590000000000007,0.9713749999999999,0.000997833333333311
max_avg_bet,2350,0.7978750000000001,0.011448833333333254,0.73325,0.0060333333333333706,0.45562500000000006,0.005409166666666669,0.9712500000000001,0.0009650000000000485
max_avg_bet,2400,0.8001250000000001,0.011749499999999968,0.7337499999999999,0.006267666666666697,0.46062499999999995,0.005901166666666666,0.9716250000000001,0.000932166666666679
max_avg_bet,2450,0.79875,0.012325333333333303,0.72775,0.006192333333333297,0.45887500000000003,0.006007166666666691,0.9709999999999999,0.0010003333333333704
max_avg_bet,2500,0.7987500000000001,0.012630999999999979,0.7297500000000001,0.0064683333333333095,0.453625,0.0061211666666666645,0.9712500000000001,0.0010006666666666911
max_avg_bet,2550,0.7987500000000001,0.012876999999999939,0.7255,0.006739000000000011,0.457125,0.006412833333333338,0.9712500000000001,0.000983000000000042
max_avg_bet,2600,0.8,0.012509999999999988,0.7206250000000001,0.007747166666666641,0.457625,0.0062565000000000094,0.970875,0.0010371666666666593
max_avg_bet,2650,0.8026249999999999,0.012176833333333286,0.718125,0.00780883333333336,0.45837500000000003,0.007239166666666677,0.9721249999999999,0.0009511666666667295
max_avg_bet,2700,0.806125,0.01201783333333328,0.718875,0.007880499999999976,0.45837500000000003,0.007940499999999996,0.9717499999999999,0.0009056666666666993
max_avg_bet,2750,0.8074999999999999,0.011229666666666655,0.7193750000000001,0.008328833333333344,0.45912499999999995,0.008083500000000016,0.971125,0.0009308333333333963
max_avg_bet,2800,0.8089999999999999,0.011739666666666627,0.720625,0.0074551666666666985,0.46362499999999995,0.00896783333333332,0.9717499999999999,0.0009193333333333697
max_avg_bet,2850,0.811875,0.011308499999999989,0.72575,0.007468333333333348,0.4705000000000001,0.00858433333333333,0.9726249999999999,0.0008048333333333347
max_avg_bet,2900,0.8140000000000001,0.011417666666666656,0.728125,0.007211499999999991,0.47450000000000003,0.00876799999999999,0.9724999999999999,0.000796000000000016
